시간,승리 횟수,이름,몬스터 MP

Player,2025-02-12 15:49:40,1,50
Player,2025-02-12 15:49:54,2,40
Player,2025-02-12 15:50:02,4,20
Player,2025-02-12 15:53:44,1,40
Player,2025-02-12 15:54:47,2,30
Player,2025-02-12 15:54:50,3,20
Player,2025-02-12 15:55:05,4,10
Player,2025-02-12 15:55:07,5,0
Player,2025-02-12 15:55:15,6,-10
Player,2025-02-12 15:55:18,6,-10
Player,2025-02-12 15:57:56,6,-10
Player,2025-02-12 16:00:37,2,30
Player,2025-02-12 16:01:35,2,30
Player,2025-02-12 16:24:09,0,50
Player,2025-02-12 16:24:56,0,50
